,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Počet
platných
hlasov
spolu",Platné hlasy (počet / podiel),,,,,,,,,,,,,,,,,,,,,,,,,
,,,Zelení,KDH,SDĽ,SNS,OĽaNO,SaS,PaS,NÁŠ KRAJ,SZ,ĽSNS,SMER - SD,"Zmena zdola, DÚ",NaS - ns,KSS,SRÚS,MOST - HÍD,99%,ĽS - HZDS,+1 HLAS,SF,Obyčajní ľudia,SDKÚ - DS,SOSKA,SMK - MKP,SSS - NM,SŽS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skároš,,467,0,62,2,16,22,32,2,7,2,6,217,25,4,1,0,1,12,3,0,3,3,25,0,0,21,1
,,,"0,00","13,27","0,42","3,42","4,71","6,85","0,42","1,49","0,42","1,28","46,46","5,35","0,85","0,21","0,00","0,21","2,56","0,64","0,00","0,64","0,64","5,35","0,00","0,00","4,49","0,21"
Slančík,,102,0,17,1,1,8,3,1,1,0,2,45,3,0,1,0,5,2,0,0,0,0,6,0,0,6,0
,,,"0,00","16,66","0,98","0,98","7,84","2,94","0,98","0,98","0,00","1,96","44,11","2,94","0,00","0,98","0,00","4,90","1,96","0,00","0,00","0,00","0,00","5,88","0,00","0,00","5,88","0,00"
Slanec,,481,1,37,2,10,46,16,0,2,2,16,238,17,3,1,0,16,20,5,1,2,1,19,0,2,22,2
,,,"0,20","7,69","0,41","2,07","9,56","3,32","0,00","0,41","0,41","3,32","49,48","3,53","0,62","0,20","0,00","3,32","4,15","1,03","0,20","0,41","0,20","3,95","0,00","0,41","4,57","0,41"
Slanská Huta,,109,0,21,0,5,14,3,0,1,0,0,49,1,1,0,0,1,4,0,0,0,0,3,0,0,6,0
,,,"0,00","19,26","0,00","4,58","12,84","2,75","0,00","0,91","0,00","0,00","44,95","0,91","0,91","0,00","0,00","0,91","3,66","0,00","0,00","0,00","0,00","2,75","0,00","0,00","5,50","0,00"
Slanské Nové Mesto,,251,1,32,0,9,25,5,1,1,0,1,137,6,1,4,0,1,7,2,0,0,3,7,0,0,7,1
,,,"0,39","12,74","0,00","3,58","9,96","1,99","0,39","0,39","0,00","0,39","54,58","2,39","0,39","1,59","0,00","0,39","2,78","0,79","0,00","0,00","1,19","2,78","0,00","0,00","2,78","0,39"
Sokoľ,,443,1,64,0,14,44,30,0,3,3,4,177,7,3,2,0,14,13,1,0,3,1,30,1,0,24,4
,,,"0,22","14,44","0,00","3,16","9,93","6,77","0,00","0,67","0,67","0,90","39,95","1,58","0,67","0,45","0,00","3,16","2,93","0,22","0,00","0,67","0,22","6,77","0,22","0,00","5,41","0,90"
Sokoľany,,422,2,71,0,13,26,6,1,3,0,11,188,17,0,10,0,1,8,32,0,0,0,18,1,0,14,0
,,,"0,47","16,82","0,00","3,08","6,16","1,42","0,23","0,71","0,00","2,60","44,54","4,02","0,00","2,36","0,00","0,23","1,89","7,58","0,00","0,00","0,00","4,26","0,23","0,00","3,31","0,00"
Svinica,,357,3,32,1,14,21,7,1,2,1,4,210,3,3,1,0,8,11,1,0,3,1,17,0,0,13,0
,,,"0,84","8,96","0,28","3,92","5,88","1,96","0,28","0,56","0,28","1,12","58,82","0,84","0,84","0,28","0,00","2,24","3,08","0,28","0,00","0,84","0,28","4,76","0,00","0,00","3,64","0,00"
Šemša,,294,3,35,1,11,21,22,3,0,0,3,138,2,1,0,0,9,11,3,0,0,2,18,1,1,8,1
,,,"1,02","11,90","0,34","3,74","7,14","7,48","1,02","0,00","0,00","1,02","46,93","0,68","0,34","0,00","0,00","3,06","3,74","1,02","0,00","0,00","0,68","6,12","0,34","0,34","2,72","0,34"
Štós,,327,2,18,0,9,19,16,5,2,0,6,173,1,1,25,1,5,9,1,0,4,1,21,1,3,4,0
,,,"0,61","5,50","0,00","2,75","5,81","4,89","1,52","0,61","0,00","1,83","52,90","0,30","0,30","7,64","0,30","1,52","2,75","0,30","0,00","1,22","0,30","6,42","0,30","0,91","1,22","0,00"
Trebejov,,121,0,16,0,3,9,10,1,0,1,0,44,1,0,0,0,2,3,0,0,0,1,25,1,0,3,1
,,,"0,00","13,22","0,00","2,47","7,43","8,26","0,82","0,00","0,82","0,00","36,36","0,82","0,00","0,00","0,00","1,65","2,47","0,00","0,00","0,00","0,82","20,66","0,82","0,00","2,47","0,82"
Trstené pri Hornáde,,646,1,80,0,28,51,17,8,1,0,13,290,42,2,4,0,9,12,8,0,3,2,23,1,0,49,2
,,,"0,15","12,38","0,00","4,33","7,89","2,63","1,23","0,15","0,00","2,01","44,89","6,50","0,30","0,61","0,00","1,39","1,85","1,23","0,00","0,46","0,30","3,56","0,15","0,00","7,58","0,30"
Trsťany,,153,0,9,1,2,13,10,1,3,1,0,83,6,0,4,0,1,1,3,0,2,0,7,0,0,6,0
,,,"0,00","5,88","0,65","1,30","8,49","6,53","0,65","1,96","0,65","0,00","54,24","3,92","0,00","2,61","0,00","0,65","0,65","1,96","0,00","1,30","0,00","4,57","0,00","0,00","3,92","0,00"
Turnianska Nová Ves,,210,1,1,0,0,3,1,0,0,0,0,4,2,0,3,0,93,3,1,0,0,0,0,0,95,3,0
,,,"0,47","0,47","0,00","0,00","1,42","0,47","0,00","0,00","0,00","0,00","1,90","0,95","0,00","1,42","0,00","44,28","1,42","0,47","0,00","0,00","0,00","0,00","0,00","45,23","1,42","0,00"
Turňa nad Bodvou,,1 148,11,33,3,9,68,30,1,6,3,9,151,2,2,7,4,394,31,47,0,1,1,24,0,285,24,2
,,,"0,95","2,87","0,26","0,78","5,92","2,61","0,08","0,52","0,26","0,78","13,15","0,17","0,17","0,60","0,34","34,32","2,70","4,09","0,00","0,08","0,08","2,09","0,00","24,82","2,09","0,17"
Vajkovce,,253,0,11,3,7,17,14,1,1,1,2,111,4,2,3,2,10,4,4,2,1,3,25,0,1,24,0
,,,"0,00","4,34","1,18","2,76","6,71","5,53","0,39","0,39","0,39","0,79","43,87","1,58","0,79","1,18","0,79","3,95","1,58","1,58","0,79","0,39","1,18","9,88","0,00","0,39","9,48","0,00"
Valaliky,,1 585,2,287,0,41,154,60,4,10,5,31,742,36,9,7,1,30,46,3,0,5,4,57,4,1,43,3
,,,"0,12","18,10","0,00","2,58","9,71","3,78","0,25","0,63","0,31","1,95","46,81","2,27","0,56","0,44","0,06","1,89","2,90","0,18","0,00","0,31","0,25","3,59","0,25","0,06","2,71","0,18"
Veľká Ida,,734,3,63,0,11,23,23,7,1,2,7,232,15,0,8,7,182,14,3,2,1,0,13,0,86,30,1
,,,"0,40","8,58","0,00","1,49","3,13","3,13","0,95","0,13","0,27","0,95","31,60","2,04","0,00","1,08","0,95","24,79","1,90","0,40","0,27","0,13","0,00","1,77","0,00","11,71","4,08","0,13"
Veľká Lodina,,131,0,7,2,5,3,3,1,0,1,1,90,1,0,1,0,7,2,0,0,0,0,6,0,0,1,0
,,,"0,00","5,34","1,52","3,81","2,29","2,29","0,76","0,00","0,76","0,76","68,70","0,76","0,00","0,76","0,00","5,34","1,52","0,00","0,00","0,00","0,00","4,58","0,00","0,00","0,76","0,00"
Vtáčkovce,,253,5,8,0,2,4,1,1,1,0,4,177,2,0,0,25,0,4,1,0,1,1,13,0,0,2,1
,,,"1,97","3,16","0,00","0,79","1,58","0,39","0,39","0,39","0,00","1,58","69,96","0,79","0,00","0,00","9,88","0,00","1,58","0,39","0,00","0,39","0,39","5,13","0,00","0,00","0,79","0,39"
Vyšná Hutka,,189,0,21,0,8,23,7,0,0,1,5,103,0,0,6,0,6,5,0,0,0,0,2,0,0,2,0
,,,"0,00","11,11","0,00","4,23","12,16","3,70","0,00","0,00","0,52","2,64","54,49","0,00","0,00","3,17","0,00","3,17","2,64","0,00","0,00","0,00","0,00","1,05","0,00","0,00","1,05","0,00"
Vyšná Kamenica,,131,3,7,1,1,10,4,0,2,0,0,84,3,1,0,0,2,2,2,0,0,0,5,1,0,2,1
,,,"2,29","5,34","0,76","0,76","7,63","3,05","0,00","1,52","0,00","0,00","64,12","2,29","0,76","0,00","0,00","1,52","1,52","1,52","0,00","0,00","0,00","3,81","0,76","0,00","1,52","0,76"
Vyšná Myšľa,,424,2,73,2,15,42,26,3,2,3,6,181,3,1,0,0,1,21,0,0,2,0,22,0,0,15,4
,,,"0,47","17,21","0,47","3,53","9,90","6,13","0,70","0,47","0,70","1,41","42,68","0,70","0,23","0,00","0,00","0,23","4,95","0,00","0,00","0,47","0,00","5,18","0,00","0,00","3,53","0,94"
Vyšný Čaj,,134,0,9,1,4,9,3,2,1,0,2,76,2,0,0,0,7,0,3,0,0,0,9,0,3,2,1
,,,"0,00","6,71","0,74","2,98","6,71","2,23","1,49","0,74","0,00","1,49","56,71","1,49","0,00","0,00","0,00","5,22","0,00","2,23","0,00","0,00","0,00","6,71","0,00","2,23","1,49","0,74"
Vyšný Klátov,,194,0,32,0,16,12,6,1,0,0,3,87,4,1,2,0,1,3,0,0,0,3,10,1,0,12,0
,,,"0,00","16,49","0,00","8,24","6,18","3,09","0,51","0,00","0,00","1,54","44,84","2,06","0,51","1,03","0,00","0,51","1,54","0,00","0,00","0,00","1,54","5,15","0,51","0,00","6,18","0,00"
Vyšný Medzev,,241,2,17,1,5,14,6,1,4,2,14,128,6,0,6,0,7,5,1,0,0,2,11,1,2,6,0
,,,"0,82","7,05","0,41","2,07","5,80","2,48","0,41","1,65","0,82","5,80","53,11","2,48","0,00","2,48","0,00","2,90","2,07","0,41","0,00","0,00","0,82","4,56","0,41","0,82","2,48","0,00"
Zádiel,,78,0,2,0,0,4,0,0,0,0,0,11,0,0,0,0,34,0,0,0,0,0,1,0,26,0,0
,,,"0,00","2,56","0,00","0,00","5,12","0,00","0,00","0,00","0,00","0,00","14,10","0,00","0,00","0,00","0,00","43,58","0,00","0,00","0,00","0,00","0,00","1,28","0,00","33,33","0,00","0,00"
Zlatá Idka,,208,0,21,1,11,20,14,1,2,1,1,95,3,0,2,0,5,3,1,0,0,1,16,1,0,8,1
,,,"0,00","10,09","0,48","5,28","9,61","6,73","0,48","0,96","0,48","0,48","45,67","1,44","0,00","0,96","0,00","2,40","1,44","0,48","0,00","0,00","0,48","7,69","0,48","0,00","3,84","0,48"
Žarnov,,168,0,0,0,0,4,6,0,0,0,0,7,0,0,1,0,68,5,2,0,0,0,0,0,67,6,2
,,,"0,00","0,00","0,00","0,00","2,38","3,57","0,00","0,00","0,00","0,00","4,16","0,00","0,00","0,59","0,00","40,47","2,97","1,19","0,00","0,00","0,00","0,00","0,00","39,88","3,57","1,19"
Ždaňa,,559,1,111,0,12,54,12,0,2,0,4,257,19,5,1,0,9,10,2,0,2,0,33,0,0,22,3
,,,"0,17","19,85","0,00","2,14","9,66","2,14","0,00","0,35","0,00","0,71","45,97","3,39","0,89","0,17","0,00","1,61","1,78","0,35","0,00","0,35","0,00","5,90","0,00","0,00","3,93","0,53"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obvod Košice - okolie,,48 144,230,4 580,96,1 268,3 416,1 803,154,302,134,791,18 857,1 327,181,322,194,5 081,1 013,670,13,149,98,2 321,40,3 473,1 458,173
,,,"0,47","9,51","0,19","2,63","7,09","3,74","0,31","0,62","0,27","1,64","39,16","2,75","0,37","0,66","0,40","10,55","2,10","1,39","0,02","0,30","0,20","4,82","0,08","7,21","3,02","0,35"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Počet
platných
hlasov
spolu",Platné hlasy (počet / podiel),,,,,,,,,,,,,,,,,,,,,,,,,
,,,Zelení,KDH,SDĽ,SNS,OĽaNO,SaS,PaS,NÁŠ KRAJ,SZ,ĽSNS,SMER - SD,"Zmena zdola, DÚ",NaS - ns,KSS,SRÚS,MOST - HÍD,99%,ĽS - HZDS,+1 HLAS,SF,Obyčajní ľudia,SDKÚ - DS,SOSKA,SMK - MKP,SSS - NM,SŽS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bajany,,185,1,15,1,1,5,9,0,2,1,1,78,2,1,0,0,22,12,0,0,0,0,21,1,3,8,1
,,,"0,54","8,10","0,54","0,54","2,70","4,86","0,00","1,08","0,54","0,54","42,16","1,08","0,54","0,00","0,00","11,89","6,48","0,00","0,00","0,00","0,00","11,35","0,54","1,62","4,32","0,54"
Baškovce,,153,0,20,0,4,9,4,0,0,0,0,99,2,2,1,0,2,2,0,0,0,0,2,1,0,4,1
,,,"0,00","13,07","0,00","2,61","5,88","2,61","0,00","0,00","0,00","0,00","64,70","1,30","1,30","0,65","0,00","1,30","1,30","0,00","0,00","0,00","0,00","1,30","0,65","0,00","2,61","0,65"
Bánovce nad Ondavou,,332,1,24,0,18,8,7,2,3,1,9,218,0,3,2,0,4,10,3,0,1,0,14,0,0,4,0
,,,"0,30","7,22","0,00","5,42","2,40","2,10","0,60","0,90","0,30","2,71","65,66","0,00","0,90","0,60","0,00","1,20","3,01","0,90","0,00","0,30","0,00","4,21","0,00","0,00","1,20","0,00"
Beňatina,,130,1,12,2,2,1,1,1,1,0,0,95,0,2,2,0,0,2,3,0,0,0,4,0,0,1,0
,,,"0,76","9,23","1,53","1,53","0,76","0,76","0,76","0,76","0,00","0,00","73,07","0,00","1,53","1,53","0,00","0,00","1,53","2,30","0,00","0,00","0,00","3,07","0,00","0,00","0,76","0,00"
Beša,,239,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,83,1,1,0,0,0,1,0,148,1,0
,,,"0,41","0,41","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,83","0,00","0,00","0,00","0,00","34,72","0,41","0,41","0,00","0,00","0,00","0,41","0,00","61,92","0,41","0,00"
Bežovce,,379,2,32,0,21,11,7,0,10,1,4,255,1,0,5,0,2,3,4,1,0,0,5,0,1,12,2
,,,"0,52","8,44","0,00","5,54","2,90","1,84","0,00","2,63","0,26","1,05","67,28","0,26","0,00","1,31","0,00","0,52","0,79","1,05","0,26","0,00","0,00","1,31","0,00","0,26","3,16","0,52"
Blatná Polianka,,95,0,0,0,5,0,2,0,0,1,0,67,3,0,1,0,3,0,4,0,0,0,3,3,0,3,0
,,,"0,00","0,00","0,00","5,26","0,00","2,10","0,00","0,00","1,05","0,00","70,52","3,15","0,00","1,05","0,00","3,15","0,00","4,21","0,00","0,00","0,00","3,15","3,15","0,00","3,15","0,00"
Blatné Remety,,151,0,3,0,3,0,6,17,0,0,0,83,0,0,0,0,2,4,25,0,0,2,6,0,0,0,0
,,,"0,00","1,98","0,00","1,98","0,00","3,97","11,25","0,00","0,00","0,00","54,96","0,00","0,00","0,00","0,00","1,32","2,64","16,55","0,00","0,00","1,32","3,97","0,00","0,00","0,00","0,00"
Blatné Revištia,,104,0,8,1,4,8,0,0,0,0,0,64,1,2,2,0,1,6,1,0,1,0,4,0,0,1,0
,,,"0,00","7,69","0,96","3,84","7,69","0,00","0,00","0,00","0,00","0,00","61,53","0,96","1,92","1,92","0,00","0,96","5,76","0,96","0,00","0,96","0,00","3,84","0,00","0,00","0,96","0,00"
Bracovce,,474,1,10,0,16,6,3,0,2,2,4,403,0,0,1,3,2,10,1,0,1,0,8,0,0,1,0
,,,"0,21","2,10","0,00","3,37","1,26","0,63","0,00","0,42","0,42","0,84","85,02","0,00","0,00","0,21","0,63","0,42","2,10","0,21","0,00","0,21","0,00","1,68","0,00","0,00","0,21","0,00"
Budince,,104,0,1,0,0,0,7,1,1,0,0,3,0,0,2,0,30,3,1,0,0,0,1,0,53,0,1
,,,"0,00","0,96","0,00","0,00","0,00","6,73","0,96","0,96","0,00","0,00","2,88","0,00","0,00","1,92","0,00","28,84","2,88","0,96","0,00","0,00","0,00","0,96","0,00","50,96","0,00","0,96"
Budkovce,,624,3,77,0,36,45,10,0,6,1,13,370,6,3,1,0,10,10,3,1,1,2,9,0,2,15,0
,,,"0,48","12,33","0,00","5,76","7,21","1,60","0,00","0,96","0,16","2,08","59,29","0,96","0,48","0,16","0,00","1,60","1,60","0,48","0,16","0,16","0,32","1,44","0,00","0,32","2,40","0,00"
Bunkovce,,138,2,13,6,17,0,9,1,0,0,3,65,0,0,1,1,4,2,9,0,0,0,5,0,0,0,0
,,,"1,44","9,42","4,34","12,31","0,00","6,52","0,72","0,00","0,00","2,17","47,10","0,00","0,00","0,72","0,72","2,89","1,44","6,52","0,00","0,00","0,00","3,62","0,00","0,00","0,00","0,00"
Čečehov,,179,0,11,0,12,9,8,0,0,0,7,101,4,2,2,0,2,5,2,0,0,0,14,0,0,0,0
,,,"0,00","6,14","0,00","6,70","5,02","4,46","0,00","0,00","0,00","3,91","56,42","2,23","1,11","1,11","0,00","1,11","2,79","1,11","0,00","0,00","0,00","7,82","0,00","0,00","0,00","0,00"
Čičarovce,,456,3,1,1,0,2,0,4,2,0,0,14,1,0,0,0,94,3,2,0,0,0,3,0,323,0,3
,,,"0,65","0,21","0,21","0,00","0,43","0,00","0,87","0,43","0,00","0,00","3,07","0,21","0,00","0,00","0,00","20,61","0,65","0,43","0,00","0,00","0,00","0,65","0,00","70,83","0,00","0,65"
Čierne Pole,,168,1,53,0,12,5,4,1,0,0,0,67,0,2,2,0,1,2,10,0,0,0,5,0,0,3,0
,,,"0,59","31,54","0,00","7,14","2,97","2,38","0,59","0,00","0,00","0,00","39,88","0,00","1,19","1,19","0,00","0,59","1,19","5,95","0,00","0,00","0,00","2,97","0,00","0,00","1,78","0,00"
Drahňov,,356,1,5,0,3,3,0,0,21,0,1,227,0,0,3,0,41,9,3,0,0,0,3,0,32,4,0
,,,"0,28","1,40","0,00","0,84","0,84","0,00","0,00","5,89","0,00","0,28","63,76","0,00","0,00","0,84","0,00","11,51","2,52","0,84","0,00","0,00","0,00","0,84","0,00","8,98","1,12","0,00"
Dúbravka,,353,0,44,0,14,33,5,2,1,2,6,207,0,6,0,0,1,4,7,0,0,0,18,0,0,3,0
,,,"0,00","12,46","0,00","3,96","9,34","1,41","0,56","0,28","0,56","1,69","58,64","0,00","1,69","0,00","0,00","0,28","1,13","1,98","0,00","0,00","0,00","5,09","0,00","0,00","0,84","0,00"
Falkušovce,,258,0,15,0,4,3,3,0,0,0,7,210,3,1,2,0,3,5,1,0,0,0,0,0,0,1,0
,,,"0,00","5,81","0,00","1,55","1,16","1,16","0,00","0,00","0,00","2,71","81,39","1,16","0,38","0,77","0,00","1,16","1,93","0,38","0,00","0,00","0,00","0,00","0,00","0,00","0,38","0,00"
Fekišovce,,139,2,11,0,6,3,3,1,0,1,1,96,0,1,0,0,2,4,0,1,1,0,5,0,0,1,0
,,,"1,43","7,91","0,00","4,31","2,15","2,15","0,71","0,00","0,71","0,71","69,06","0,00","0,71","0,00","0,00","1,43","2,87","0,00","0,71","0,71","0,00","3,59","0,00","0,00","0,71","0,00"
Hatalov,,356,2,30,0,15,15,7,0,1,2,4,241,3,1,1,1,0,2,26,0,1,0,1,0,0,3,0
,,,"0,56","8,42","0,00","4,21","4,21","1,96","0,00","0,28","0,56","1,12","67,69","0,84","0,28","0,28","0,28","0,00","0,56","7,30","0,00","0,28","0,00","0,28","0,00","0,00","0,84","0,00"
Hažín,,243,0,17,5,10,9,20,2,1,0,2,143,6,0,1,0,10,3,1,0,1,0,10,0,0,2,0
,,,"0,00","6,99","2,05","4,11","3,70","8,23","0,82","0,41","0,00","0,82","58,84","2,46","0,00","0,41","0,00","4,11","1,23","0,41","0,00","0,41","0,00","4,11","0,00","0,00","0,82","0,00"
Hlivištia,,201,1,15,2,1,3,2,0,2,1,1,151,0,2,0,0,1,3,5,1,0,0,6,0,0,4,0
,,,"0,49","7,46","0,99","0,49","1,49","0,99","0,00","0,99","0,49","0,49","75,12","0,00","0,99","0,00","0,00","0,49","1,49","2,48","0,49","0,00","0,00","2,98","0,00","0,00","1,99","0,00"
Hnojné,,116,0,5,2,4,4,4,0,0,0,0,74,1,0,1,7,0,5,1,0,0,0,8,0,0,0,0
,,,"0,00","4,31","1,72","3,44","3,44","3,44","0,00","0,00","0,00","0,00","63,79","0,86","0,00","0,86","6,03","0,00","4,31","0,86","0,00","0,00","0,00","6,89","0,00","0,00","0,00","0,00"
Horňa,,167,0,27,0,4,6,7,3,1,0,0,101,1,0,0,0,0,4,3,0,0,0,5,0,0,4,1
,,,"0,00","16,16","0,00","2,39","3,59","4,19","1,79","0,59","0,00","0,00","60,47","0,59","0,00","0,00","0,00","0,00","2,39","1,79","0,00","0,00","0,00","2,99","0,00","0,00","2,39","0,59"
Horovce,,345,0,17,2,14,4,3,2,2,1,8,239,1,6,2,0,2,7,13,1,1,0,14,0,0,6,0
,,,"0,00","4,92","0,57","4,05","1,15","0,86","0,57","0,57","0,28","2,31","69,27","0,28","1,73","0,57","0,00","0,57","2,02","3,76","0,28","0,28","0,00","4,05","0,00","0,00","1,73","0,00"
Husák,,83,0,4,0,1,4,0,0,0,0,10,52,0,1,0,0,0,0,5,0,0,0,2,0,0,3,1
,,,"0,00","4,81","0,00","1,20","4,81","0,00","0,00","0,00","0,00","12,04","62,65","0,00","1,20","0,00","0,00","0,00","0,00","6,02","0,00","0,00","0,00","2,40","0,00","0,00","3,61","1,20"
Choňkovce,,292,2,16,0,7,5,3,3,1,0,6,216,1,1,3,0,0,3,13,0,0,0,10,0,0,2,0
,,,"0,68","5,47","0,00","2,39","1,71","1,02","1,02","0,34","0,00","2,05","73,97","0,34","0,34","1,02","0,00","0,00","1,02","4,45","0,00","0,00","0,00","3,42","0,00","0,00","0,68","0,00"
Inovce,,111,0,7,10,0,0,1,0,1,0,1,82,0,0,1,0,0,0,7,0,0,0,0,0,0,1,0
,,,"0,00","6,30","9,00","0,00","0,00","0,90","0,00","0,90","0,00","0,90","73,87","0,00","0,00","0,90","0,00","0,00","0,00","6,30","0,00","0,00","0,00","0,00","0,00","0,00","0,90","0,00"
Iňačovce,,194,8,16,0,10,13,3,1,1,1,1,99,0,0,17,2,4,1,1,0,0,1,8,0,0,7,0
,,,"4,12","8,24","0,00","5,15","6,70","1,54","0,51","0,51","0,51","0,51","51,03","0,00","0,00","8,76","1,03","2,06","0,51","0,51","0,00","0,00","0,51","4,12","0,00","0,00","3,60","0,00"
Ižkovce,,75,0,1,0,1,1,0,0,0,0,0,6,0,0,0,0,52,0,1,0,0,0,0,0,12,0,1
,,,"0,00","1,33","0,00","1,33","1,33","0,00","0,00","0,00","0,00","0,00","8,00","0,00","0,00","0,00","0,00","69,33","0,00","1,33","0,00","0,00","0,00","0,00","0,00","16,00","0,00","1,33"
Jasenov,,164,0,26,0,12,6,7,0,0,1,1,95,0,0,0,0,2,0,4,0,0,0,9,0,0,1,0
,,,"0,00","15,85","0,00","7,31","3,65","4,26","0,00","0,00","0,60","0,60","57,92","0,00","0,00","0,00","0,00","1,21","0,00","2,43","0,00","0,00","0,00","5,48","0,00","0,00","0,60","0,00"
Jastrabie pri Michalovciach,,120,0,26,0,10,6,5,0,0,0,0,63,2,0,2,0,0,0,1,0,0,0,5,0,0,0,0
,,,"0,00","21,66","0,00","8,33","5,00","4,16","0,00","0,00","0,00","0,00","52,50","1,66","0,00","1,66","0,00","0,00","0,00","0,83","0,00","0,00","0,00","4,16","0,00","0,00","0,00","0,00"
Jenkovce,,189,1,24,0,10,4,2,0,1,0,3,121,0,0,1,0,3,5,0,0,0,1,8,1,0,2,2
,,,"0,52","12,69","0,00","5,29","2,11","1,05","0,00","0,52","0,00","1,58","64,02","0,00","0,00","0,52","0,00","1,58","2,64","0,00","0,00","0,00","0,52","4,23","0,52","0,00","1,05","1,05"
Jovsa,,387,1,28,2,7,17,11,4,1,0,1,262,5,0,14,0,2,4,2,0,4,1,7,0,0,14,0
,,,"0,25","7,23","0,51","1,80","4,39","2,84","1,03","0,25","0,00","0,25","67,70","1,29","0,00","3,61","0,00","0,51","1,03","0,51","0,00","1,03","0,25","1,80","0,00","0,00","3,61","0,00"
Kačanov,,133,1,20,0,6,4,3,0,0,0,1,89,0,1,1,0,0,3,2,0,0,0,1,0,0,1,0
,,,"0,75","15,03","0,00","4,51","3,00","2,25","0,00","0,00","0,00","0,75","66,91","0,00","0,75","0,75","0,00","0,00","2,25","1,50","0,00","0,00","0,00","0,75","0,00","0,00","0,75","0,00"
Kaluža,,225,0,33,5,10,6,10,1,2,0,2,125,0,2,2,0,1,4,4,0,1,0,8,1,0,7,1
,,,"0,00","14,66","2,22","4,44","2,66","4,44","0,44","0,88","0,00","0,88","55,55","0,00","0,88","0,88","0,00","0,44","1,77","1,77","0,00","0,44","0,00","3,55","0,44","0,00","3,11","0,44"
Kapušianske Kľačany,,382,0,14,0,2,9,3,2,0,0,0,13,2,0,1,0,177,2,0,0,0,0,0,1,154,1,1
,,,"0,00","3,66","0,00","0,52","2,35","0,78","0,52","0,00","0,00","0,00","3,40","0,52","0,00","0,26","0,00","46,33","0,52","0,00","0,00","0,00","0,00","0,00","0,26","40,31","0,26","0,26"
Klokočov,,212,0,22,1,17,9,5,2,0,0,1,135,0,1,2,0,0,4,4,0,0,0,7,0,0,2,0
,,,"0,00","10,37","0,47","8,01","4,24","2,35","0,94","0,00","0,00","0,47","63,67","0,00","0,47","0,94","0,00","0,00","1,88","1,88","0,00","0,00","0,00","3,30","0,00","0,00","0,94","0,00"
Kolibabovce,,80,0,1,0,2,1,0,0,6,0,0,65,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0
,,,"0,00","1,25","0,00","2,50","1,25","0,00","0,00","7,50","0,00","0,00","81,25","2,50","1,25","0,00","0,00","0,00","0,00","2,50","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Koňuš,,201,0,12,1,10,6,2,0,1,0,1,157,0,1,1,0,0,1,2,0,1,1,2,0,0,2,0
,,,"0,00","5,97","0,49","4,97","2,98","0,99","0,00","0,49","0,00","0,49","78,10","0,00","0,49","0,49","0,00","0,00","0,49","0,99","0,00","0,49","0,49","0,99","0,00","0,00","0,99","0,00"
Koromľa,,198,1,35,1,9,3,1,0,0,0,6,123,1,0,2,0,1,4,5,0,0,0,3,0,0,3,0
,,,"0,50","17,67","0,50","4,54","1,51","0,50","0,00","0,00","0,00","3,03","62,12","0,50","0,00","1,01","0,00","0,50","2,02","2,52","0,00","0,00","0,00","1,51","0,00","0,00","1,51","0,00"
Krásnovce,,313,0,20,9,17,12,18,2,1,0,5,174,0,0,4,0,2,13,5,0,0,0,22,1,0,8,0
,,,"0,00","6,38","2,87","5,43","3,83","5,75","0,63","0,31","0,00","1,59","55,59","0,00","0,00","1,27","0,00","0,63","4,15","1,59","0,00","0,00","0,00","7,02","0,31","0,00","2,55","0,00"
Krčava,,208,0,13,5,8,13,1,2,0,2,2,147,1,0,0,0,4,0,4,0,0,0,5,0,0,1,0
,,,"0,00","6,25","2,40","3,84","6,25","0,48","0,96","0,00","0,96","0,96","70,67","0,48","0,00","0,00","0,00","1,92","0,00","1,92","0,00","0,00","0,00","2,40","0,00","0,00","0,48","0,00"
Kristy,,129,1,2,0,4,4,1,0,0,0,0,101,0,0,2,0,1,7,0,0,1,0,4,0,0,1,0
,,,"0,77","1,55","0,00","3,10","3,10","0,77","0,00","0,00","0,00","0,00","78,29","0,00","0,00","1,55","0,00","0,77","5,42","0,00","0,00","0,77","0,00","3,10","0,00","0,00","0,77","0,00"
Krišovská Liesková,,331,14,6,0,2,5,3,3,0,0,1,35,0,0,1,3,141,2,1,0,0,0,4,1,108,0,1
,,,"4,22","1,81","0,00","0,60","1,51","0,90","0,90","0,00","0,00","0,30","10,57","0,00","0,00","0,30","0,90","42,59","0,60","0,30","0,00","0,00","0,00","1,20","0,30","32,62","0,00","0,30"
Kusín,,179,2,25,1,12,11,5,1,0,2,1,104,2,0,6,0,0,2,0,0,0,1,0,0,0,4,0
